01/07/19	12:05:20.471	C:\Icing\LabView_vi\Icing_2TC_FP_v2.0.vi
Dt (s):		0.200000

Date	Time	# meas	# cycle	V	I	Temp1	Temp2

01/07/19	12:07:17.629	1	0	-0.002000	0.003000	6.0560	6.0450
01/07/19	12:07:17.820	2	0	-0.001000	0.003000	6.0480	6.0450
01/07/19	12:07:18.028	3	0	-0.001000	0.002000	6.0510	6.0340
01/07/19	12:07:18.241	4	0	-0.001000	0.003000	6.0370	6.0450
01/07/19	12:07:18.451	5	0	-0.001000	0.003000	6.0340	6.0420
01/07/19	12:07:18.659	6	0	-0.001000	0.003000	6.0230	6.0390
01/07/19	12:07:18.825	7	0	-0.001000	0.003000	6.0310	6.0420
01/07/19	12:07:19.033	8	0	-0.001000	0.003000	6.0310	6.0360
01/07/19	12:07:19.244	9	0	0.000000	0.003000	6.0370	6.0200
01/07/19	12:07:19.451	10	0	-0.001000	0.003000	6.0400	6.0390
01/07/19	12:07:19.658	11	0	-0.001000	0.003000	6.0310	6.0390
01/07/19	12:07:19.829	12	0	-0.001000	0.003000	6.0260	6.0310
01/07/19	12:07:20.044	13	0	0.000000	0.003000	6.0420	6.0430
01/07/19	12:07:20.250	14	0	0.000000	0.003000	6.0460	6.0400
01/07/19	12:07:20.462	15	0	-0.001000	0.002000	6.0520	6.0290
01/07/19	12:07:20.622	16	0	-0.001000	0.003000	6.0270	6.0320
01/07/19	12:07:20.830	17	0	0.000000	0.003000	6.0440	6.0290
01/07/19	12:07:21.045	18	0	-0.001000	0.003000	6.0380	6.0460
01/07/19	12:07:21.258	19	0	0.000000	0.003000	6.0350	6.0430
01/07/19	12:07:21.422	20	0	0.000000	0.002000	6.0350	6.0350
01/07/19	12:07:21.635	21	0	-0.001000	0.002000	6.0300	6.0240
01/07/19	12:07:21.841	22	0	-0.001000	0.002000	6.0220	6.0380
01/07/19	12:07:22.045	23	0	-0.001000	0.002000	6.0270	6.0180
01/07/19	12:07:22.255	24	0	-0.001000	0.003000	6.0440	6.0240
01/07/19	12:07:22.427	25	0	-0.001000	0.002000	6.0220	6.0210
01/07/19	12:07:22.636	26	0	0.000000	0.002000	6.0130	6.0380
01/07/19	12:07:22.848	27	0	0.000000	0.003000	6.0300	6.0320
