01/07/19	12:26:00.880	C:\Icing\LabView_vi\Icing_2TC_FP_v2.0.vi
Dt (s):		0.200000

Date	Time	# meas	# cycle	V	I	Temp1	Temp2

01/07/19	12:26:48.652	1	0	-0.001000	0.003000	6.0730	6.0640
01/07/19	12:26:48.842	2	0	0.000000	0.003000	6.0840	6.0560
01/07/19	12:26:49.052	3	0	0.000000	0.003000	6.0670	6.0780
01/07/19	12:26:49.273	4	0	0.000000	0.003000	6.0760	6.0700
01/07/19	12:26:49.444	5	0	0.000000	0.003000	6.0200	6.0590
01/07/19	12:26:49.650	6	0	-0.001000	0.003000	6.0450	6.0480
01/07/19	12:26:49.855	7	0	-0.001000	0.003000	6.1010	6.0670
01/07/19	12:26:50.062	8	0	-0.001000	0.003000	6.0560	6.0750
01/07/19	12:26:50.283	9	0	0.000000	0.003000	6.0950	6.0610
01/07/19	12:26:50.483	10	0	0.000000	0.003000	6.0700	6.0670
01/07/19	12:26:50.643	11	0	0.000000	0.003000	6.0540	6.0640
01/07/19	12:26:50.857	12	0	0.000000	0.003000	6.0810	6.0530
01/07/19	12:26:51.066	13	0	0.000000	0.003000	6.0370	6.0720
01/07/19	12:26:51.273	14	0	-0.001000	0.003000	6.0540	6.0920
01/07/19	12:26:51.451	15	0	-0.001000	0.003000	6.0430	6.0670
01/07/19	12:26:51.658	16	0	0.000000	0.003000	6.0780	6.0750
01/07/19	12:26:51.872	17	0	0.000000	0.003000	6.0430	6.0480
01/07/19	12:26:52.079	18	0	0.000000	0.003000	6.0670	6.0500
01/07/19	12:26:52.292	19	0	0.000000	0.003000	6.0370	6.0480
01/07/19	12:26:52.446	20	0	0.000000	0.003000	6.0620	6.0700
01/07/19	12:26:52.658	21	0	-0.001000	0.003000	6.0810	6.0560
01/07/19	12:26:52.865	22	0	0.000000	0.003000	6.0340	6.0530
01/07/19	12:26:53.078	23	0	-0.001000	0.002000	6.0840	6.0530
01/07/19	12:26:53.249	24	0	-0.001000	0.003000	6.0370	6.0420
01/07/19	12:26:53.461	25	0	0.000000	0.003000	6.0650	6.0590
01/07/19	12:26:53.670	26	0	0.000000	0.003000	6.0250	6.0490
Cycle	Time Peltier On:	60.000000	Time Peltier Off:	200.000000	# iterations	1.000000		
01/07/19	12:26:53.882	27	1	6.891000	0.003000	6.0550	6.0410
01/07/19	12:26:54.042	28	1	6.891000	0.108000	6.0270	6.0240
01/07/19	12:26:54.250	29	1	0.398000	0.108000	5.9690	5.9550
01/07/19	12:26:54.459	30	1	0.405000	0.114000	5.8810	5.9000
01/07/19	12:26:54.670	31	1	0.401000	0.112000	5.8370	5.8390
01/07/19	12:26:54.844	32	1	0.401000	0.115000	5.7710	5.7870
01/07/19	12:26:55.052	33	1	0.413000	0.115000	5.7020	5.7180
01/07/19	12:26:55.259	34	1	0.418000	0.115000	5.6300	5.6540
01/07/19	12:26:55.475	35	1	0.417000	0.114000	5.5970	5.5820
01/07/19	12:26:55.648	36	1	0.417000	0.118000	5.5170	5.5160
01/07/19	12:26:55.860	37	1	0.431000	0.117000	5.4780	5.4580
01/07/19	12:26:56.076	38	1	0.445000	0.117000	5.3840	5.3810
01/07/19	12:26:56.248	39	1	0.445000	0.120000	5.3210	5.3230
01/07/19	12:26:56.463	40	1	0.438000	0.117000	5.2600	5.2900
01/07/19	12:26:56.663	41	1	0.444000	0.118000	5.1910	5.2340
01/07/19	12:26:56.873	42	1	0.447000	0.118000	5.1330	5.1350
01/07/19	12:26:57.074	43	1	0.452000	0.118000	5.0640	5.0850
01/07/19	12:26:57.242	44	1	0.452000	0.118000	5.0140	5.0360
01/07/19	12:26:57.455	45	1	0.462000	0.118000	4.9810	4.9670
01/07/19	12:26:57.664	46	1	0.479000	0.120000	4.8730	4.9360
01/07/19	12:26:57.871	47	1	0.466000	0.119000	4.8590	4.8810
01/07/19	12:26:58.084	48	1	0.466000	0.126000	4.7740	4.8060
01/07/19	12:26:58.250	49	1	0.488000	0.126000	4.7710	4.7570
01/07/19	12:26:58.462	50	1	0.511000	0.124000	4.7320	4.7240
01/07/19	12:26:58.674	51	1	0.527000	0.136000	4.6250	4.6320
01/07/19	12:26:58.886	52	1	0.527000	0.129000	4.6110	4.5970
01/07/19	12:26:59.043	53	1	0.511000	0.129000	4.5610	4.5440
01/07/19	12:26:59.255	54	1	0.545000	0.136000	4.5090	4.4940
01/07/19	12:26:59.463	55	1	0.554000	0.140000	4.4230	4.4420
01/07/19	12:26:59.681	56	1	0.554000	0.139000	4.3680	4.3670
01/07/19	12:26:59.847	57	1	0.551000	0.139000	4.3290	4.3320
01/07/19	12:27:00.054	58	1	0.570000	0.139000	4.3240	4.2820
01/07/19	12:27:00.266	59	1	0.597000	0.150000	4.2020	4.2270
01/07/19	12:27:00.479	60	1	0.597000	0.143000	4.1770	4.1650
01/07/19	12:27:00.654	61	1	0.577000	0.143000	4.1270	4.1370
01/07/19	12:27:00.863	62	1	0.607000	0.149000	4.0900	4.0650
01/07/19	12:27:01.073	63	1	0.623000	0.156000	3.9950	4.0090
01/07/19	12:27:01.282	64	1	0.623000	0.151000	3.9170	3.9720
01/07/19	12:27:01.442	65	1	0.613000	0.151000	3.9170	3.9130
01/07/19	12:27:01.650	66	1	0.639000	0.150000	3.8470	3.8710
01/07/19	12:27:01.870	67	1	0.643000	0.158000	3.7740	3.8040
01/07/19	12:27:02.065	68	1	0.643000	0.157000	3.7260	3.7400
01/07/19	12:27:02.273	69	1	0.650000	0.159000	3.6760	3.7200
01/07/19	12:27:02.446	70	1	0.658000	0.159000	3.6360	3.6470
01/07/19	12:27:02.653	71	1	0.658000	0.165000	3.6000	3.5880
01/07/19	12:27:02.864	72	1	0.675000	0.169000	3.5080	3.5460
01/07/19	12:27:03.070	73	1	0.678000	0.165000	3.4880	3.4850
01/07/19	12:27:03.278	74	1	0.701000	0.165000	3.4320	3.4290
01/07/19	12:27:03.451	75	1	0.701000	0.171000	3.3930	3.3700
01/07/19	12:27:03.667	76	1	0.710000	0.176000	3.3420	3.3430
01/07/19	12:27:03.872	77	1	0.726000	0.178000	3.2680	3.2790
01/07/19	12:27:04.084	78	1	0.731000	0.178000	3.2180	3.2310
01/07/19	12:27:04.243	79	1	0.731000	0.177000	3.1780	3.1830
01/07/19	12:27:04.456	80	1	0.741000	0.182000	3.1170	3.1380
01/07/19	12:27:04.662	81	1	0.757000	0.183000	3.0330	3.0630
01/07/19	12:27:04.870	82	1	0.753000	0.183000	3.0300	3.0210
01/07/19	12:27:05.044	83	1	0.753000	0.185000	2.9430	2.9540
01/07/19	12:27:05.251	84	1	0.783000	0.186000	2.9230	2.9000
01/07/19	12:27:05.466	85	1	0.799000	0.192000	2.8170	2.8500
01/07/19	12:27:05.674	86	1	0.789000	0.192000	2.7780	2.7850
01/07/19	12:27:05.847	87	1	0.789000	0.189000	2.7410	2.7570
01/07/19	12:27:06.059	88	1	0.800000	0.195000	2.6880	2.6870
01/07/19	12:27:06.270	89	1	0.823000	0.197000	2.6120	2.6540
01/07/19	12:27:06.484	90	1	0.820000	0.197000	2.5390	2.5810
01/07/19	12:27:06.642	91	1	0.820000	0.194000	2.5090	2.5360
01/07/19	12:27:06.850	92	1	0.823000	0.199000	2.4950	2.4720
01/07/19	12:27:07.057	93	1	0.861000	0.199000	2.4220	2.4210
01/07/19	12:27:07.272	94	1	0.861000	0.206000	2.3830	2.3850
01/07/19	12:27:07.490	95	1	0.877000	0.206000	2.2870	2.3120
01/07/19	12:27:07.644	96	1	0.877000	0.204000	2.2790	2.2700
01/07/19	12:27:07.852	97	1	0.890000	0.204000	2.2140	2.2110
01/07/19	12:27:08.063	98	1	0.894000	0.211000	2.1250	2.1610
01/07/19	12:27:08.270	99	1	0.890000	0.209000	2.1000	2.1050
01/07/19	12:27:08.480	100	1	0.890000	0.214000	1.9930	2.0370
01/07/19	12:27:08.646	101	1	0.910000	0.214000	1.9790	2.0230
01/07/19	12:27:08.862	102	1	0.917000	0.209000	1.9760	1.9500
01/07/19	12:27:09.068	103	1	0.949000	0.224000	1.8870	1.9170
01/07/19	12:27:09.280	104	1	0.949000	0.221000	1.8250	1.8360
01/07/19	12:27:09.445	105	1	0.943000	0.221000	1.8110	1.7940
01/07/19	12:27:09.667	106	1	0.970000	0.221000	1.7410	1.7370
01/07/19	12:27:09.869	107	1	0.973000	0.228000	1.6570	1.6670
01/07/19	12:27:10.073	108	1	0.973000	0.225000	1.5950	1.6370
01/07/19	12:27:10.245	109	1	0.967000	0.225000	1.5670	1.5830
01/07/19	12:27:10.452	110	1	0.989000	0.226000	1.5220	1.5390
01/07/19	12:27:10.664	111	1	1.003000	0.234000	1.4410	1.4630
01/07/19	12:27:10.876	112	1	1.003000	0.232000	1.4130	1.4070
01/07/19	12:27:11.047	113	1	1.000000	0.232000	1.3710	1.3700
01/07/19	12:27:11.259	114	1	1.028000	0.237000	1.3320	1.3000
01/07/19	12:27:11.466	115	1	1.041000	0.243000	1.2810	1.2500
01/07/19	12:27:11.677	116	1	1.041000	0.245000	1.1860	1.2130
01/07/19	12:27:11.846	117	1	1.052000	0.245000	1.1500	1.1630
01/07/19	12:27:12.055	118	1	1.059000	0.242000	1.1130	1.1010
01/07/19	12:27:12.268	119	1	1.072000	0.249000	1.0150	1.0510
01/07/19	12:27:12.466	120	1	1.072000	0.245000	1.0010	0.9610
01/07/19	12:27:12.678	121	1	1.070000	0.252000	0.9030	0.9220
01/07/19	12:27:12.842	122	1	1.076000	0.252000	0.8780	0.8660
01/07/19	12:27:13.055	123	1	1.076000	0.253000	0.8190	0.8040
01/07/19	12:27:13.266	124	1	1.095000	0.254000	0.7600	0.7790
01/07/19	12:27:13.473	125	1	1.104000	0.255000	0.6820	0.7120
01/07/19	12:27:13.647	126	1	1.105000	0.255000	0.6420	0.6640
01/07/19	12:27:13.861	127	1	1.118000	0.257000	0.6170	0.5970
