Time_Peltier_On_	T1	T2
31:37.9	8.583	9.17
31:38.1	8.456	8.983
31:38.3	8.31	8.825
31:38.5	8.227	8.723
31:38.7	8.089	8.591
31:38.9	7.995	8.447
31:39.1	7.884	8.345
31:39.3	7.818	8.268
31:39.5	7.732	8.149
31:39.7	7.661	8.058
31:39.9	7.586	7.986
31:40.1	7.523	7.92
31:40.3	7.49	7.853
31:40.5	7.434	7.793
31:40.7	7.382	7.713
31:40.9	7.357	7.657
31:41.1	7.302	7.63
31:41.3	7.247	7.566
31:41.5	7.211	7.503
31:41.7	7.194	7.445
31:41.9	7.158	7.406
31:42.1	7.1	7.343
31:42.3	7.045	7.307
31:42.5	7.034	7.263
31:42.7	6.99	7.249
31:42.9	6.962	7.174
31:43.1	6.901	7.141
31:43.3	6.893	7.094
31:43.5	6.876	7.069
31:43.7	6.863	7.031
31:43.9	6.849	6.997
31:44.1	6.783	6.967
31:44.3	6.774	6.939
31:44.5	6.755	6.92
31:44.7	6.73	6.89
31:44.9	6.705	6.859
31:45.1	6.678	6.832
31:45.3	6.672	6.81
31:45.5	6.628	6.785
31:45.7	6.625	6.757
31:45.9	6.609	6.716
31:46.1	6.603	6.716
31:46.3	6.573	6.672
31:46.5	6.537	6.666
31:46.7	6.52	6.647
31:46.9	6.54	6.614
31:47.1	6.509	6.619
31:47.3	6.512	6.6
31:47.5	6.479	6.586
31:47.7	6.465	6.553
31:47.9	6.462	6.534
31:48.1	6.435	6.528
31:48.3	6.443	6.511
31:48.5	6.421	6.478
31:48.7	6.399	6.489
31:48.9	6.415	6.442
31:49.1	6.368	6.459
31:49.3	6.377	6.426
31:49.5	6.338	6.418
31:49.7	6.335	6.415
31:49.9	6.319	6.387
31:50.1	6.313	6.376
31:50.3	6.308	6.354
31:50.5	6.288	6.335
31:50.7	6.302	6.329
31:50.9	6.277	6.34
31:51.1	6.287	6.336
31:51.3	6.257	6.308
31:51.5	6.259	6.297
31:51.7	6.215	6.281
31:51.9	6.226	6.286
31:52.1	6.218	6.267
31:52.3	6.19	6.248
31:52.5	6.19	6.242
31:52.7	6.174	6.212
31:52.9	6.174	6.226
31:53.1	6.157	6.188
31:53.3	6.152	6.188
31:53.5	6.141	6.188
31:53.7	6.11	6.136
31:53.9	6.102	6.141
31:54.1	6.085	6.141
31:54.3	6.074	6.122
31:54.5	6.077	6.092
31:54.7	6.05	6.108
31:54.9	6.033	6.067
31:55.1	6.025	6.086
31:55.3	6.005	6.078
31:55.5	6.019	6.05
31:55.7	5.983	6.045
31:55.9	5.986	6.028
31:56.1	5.989	5.995
31:56.3	5.945	6.017
31:56.5	5.978	5.981
31:56.7	5.939	5.976
31:56.9	5.92	5.945
31:57.1	5.898	5.965
31:57.3	5.898	5.943
31:57.5	5.892	5.912
31:57.7	5.867	5.904
31:57.9	5.867	5.901
31:58.1	5.837	5.893
31:58.3	5.831	5.86
31:58.5	5.829	5.868
31:58.7	5.782	5.863
31:58.9	5.79	5.827
31:59.1	5.786	5.828
31:59.3	5.766	5.825
31:59.5	5.764	5.814
31:59.7	5.755	5.806
31:59.9	5.733	5.764
32:00.1	5.706	5.77
32:00.3	5.686	5.753
32:00.5	5.689	5.737
32:00.7	5.67	5.712
32:00.9	5.656	5.707
32:01.1	5.655	5.697
32:01.3	5.633	5.683
32:01.5	5.633	5.664
32:01.7	5.594	5.644
32:01.9	5.599	5.633
32:02.1	5.58	5.625
32:02.3	5.566	5.592
32:02.5	5.569	5.611
32:02.7	5.547	5.589
32:02.9	5.536	5.57
32:03.1	5.514	5.56
32:03.3	5.522	5.527
32:03.5	5.492	5.53
32:03.7	5.497	5.53
32:03.9	5.453	5.497
32:04.1	5.47	5.472
32:04.3	5.448	5.469
32:04.5	5.437	5.453
32:04.7	5.42	5.458
32:04.9	5.403	5.436
32:05.1	5.395	5.408
32:05.3	5.387	5.4
32:05.5	5.343	5.395
32:05.7	5.354	5.37
32:05.9	5.329	5.353
32:06.1	5.334	5.356
32:06.3	5.301	5.334
32:06.5	5.293	5.323
32:06.7	5.265	5.323
32:06.9	5.271	5.292
32:07.1	5.243	5.276
32:07.3	5.243	5.265
32:07.5	5.221	5.268
32:07.7	5.207	5.245
32:07.9	5.188	5.234
32:08.0	5.188	5.218
32:08.3	5.166	5.221
32:08.5	5.158	5.204
32:08.7	5.149	5.171
32:08.9	5.13	5.165
32:09.1	5.119	5.146
32:09.3	5.1	5.141
32:09.5	5.094	5.113
32:09.7	5.097	5.105
32:09.9	5.064	5.094
32:10.1	5.05	5.096
32:10.3	5.044	5.066
32:10.5	5.028	5.063
32:10.7	5.006	5.03
32:10.9	4.998	5.027
32:11.1	4.967	5.016
32:11.3	4.984	5
32:11.5	4.953	4.978
32:11.7	4.959	4.989
32:11.9	4.934	4.967
32:12.1	4.909	4.942
32:12.3	4.898	4.942
32:12.5	4.879	4.903
32:12.7	4.868	4.903
32:12.9	4.862	4.892
32:13.1	4.848	4.892
32:13.3	4.829	4.87
32:13.5	4.821	4.853
32:13.7	4.832	4.851
32:13.9	4.785	4.84
32:14.1	4.771	4.812
32:14.3	4.735	4.806
32:14.5	4.755	4.804
32:14.7	4.755	4.771
32:14.9	4.743	4.748
32:15.1	4.713	4.76
32:15.3	4.708	4.755
32:15.5	4.697	4.722
32:15.7	4.674	4.73
32:15.9	4.65	4.684
32:16.1	4.655	4.686
32:16.3	4.658	4.681
32:16.5	4.619	4.65
32:16.7	4.614	4.642
32:16.9	4.589	4.623
32:17.1	4.581	4.615
32:17.3	4.571	4.624
32:17.5	4.554	4.591
32:17.7	4.554	4.594
32:17.9	4.535	4.566
32:18.1	4.51	4.558
32:18.3	4.51	4.536
32:18.5	4.485	4.539
32:18.7	4.469	4.519
32:18.9	4.455	4.508
32:19.1	4.433	4.497
32:19.3	4.433	4.49
32:19.5	4.436	4.476
32:19.7	4.389	4.446
32:19.9	4.389	4.432
32:20.1	4.372	4.418
32:20.3	4.361	4.416
32:20.5	4.353	4.402
32:20.7	4.342	4.407
32:20.9	4.317	4.366
32:21.1	4.3	4.371
32:21.3	4.289	4.355
32:21.5	4.289	4.349
32:21.7	4.267	4.316
32:21.9	4.262	4.3
32:22.1	4.248	4.297
32:22.3	4.245	4.28
32:22.5	4.237	4.264
32:22.7	4.198	4.239
32:22.9	4.198	4.247
32:23.1	4.212	4.225
32:23.3	4.176	4.206
32:23.5	4.153	4.192
32:23.7	4.162	4.189
32:23.9	4.131	4.192
32:24.1	4.114	4.161
32:24.3	4.092	4.147
32:24.5	4.089	4.153
32:24.7	4.058	4.128
32:24.9	4.041	4.105
32:25.1	4.044	4.091
32:25.3	4.03	4.065
32:25.5	4.03	4.062
32:25.7	4.013	4.065
32:25.9	3.988	4.039
32:26.1	3.988	4.025
32:26.3	3.954	4.017
32:26.5	3.946	3.98
32:26.7	3.946	3.997
32:26.9	3.918	3.98
32:27.1	3.907	3.972
32:27.3	3.884	3.933
32:27.5	3.886	3.924
32:27.7	3.838	3.908
32:27.9	3.861	3.888
32:28.1	3.819	3.871
32:28.3	3.827	3.88
32:28.5	3.796	3.849
32:28.7	3.802	3.838
32:28.9	3.791	3.815
32:29.1	3.765	3.804
32:29.3	3.749	3.793
32:29.5	3.74	3.793
32:29.7	3.723	3.77
32:29.9	3.712	3.776
32:30.1	3.701	3.745
32:30.3	3.69	3.742
32:30.5	3.684	3.706
32:30.7	3.656	3.695
32:30.9	3.648	3.712
32:31.1	3.628	3.675
32:31.3	3.606	3.661
32:31.5	3.608	3.653
32:31.7	3.592	3.625
32:31.9	3.569	3.616
32:32.1	3.575	3.605
32:32.3	3.538	3.599
32:32.5	3.547	3.591
32:32.7	3.51	3.583
32:32.9	3.522	3.546
32:33.1	3.482	3.529
32:33.3	3.488	3.518
32:33.5	3.48	3.517
32:33.7	3.449	3.5
32:33.9	3.477	3.52
32:34.1	3.423	3.483
32:34.3	3.407	3.469
32:34.5	3.393	3.452
32:34.7	3.39	3.438
32:34.9	3.384	3.43
32:35.1	3.311	3.419
32:35.3	3.359	3.402
32:35.5	3.342	3.382
32:35.7	3.309	3.388
32:35.9	3.325	3.385
32:36.1	3.283	3.346
32:36.3	3.295	3.318
32:36.5	3.3	3.301
32:36.7	3.272	3.301
32:36.9	3.253	3.298
32:37.1	3.233	3.276
32:37.3	3.233	3.256
32:37.5	3.188	3.253
32:37.7	3.191	3.242
32:37.9	3.18	3.214
32:38.1	3.149	3.234
32:38.3	3.14	3.189
32:38.5	3.14	3.181
32:38.7	3.124	3.169
32:38.9	3.124	3.161
32:39.1	3.115	3.133
32:39.3	3.073	3.122
32:39.5	3.051	3.115
32:39.7	3.054	3.101
32:39.9	3.048	3.09
32:40.1	3.028	3.087
32:40.3	3.031	3.064
32:40.5	2.989	3.025
32:40.7	3.006	3.036
32:40.9	2.972	3.036
32:41.1	2.992	3.019
32:41.3	2.947	2.983
32:41.5	2.919	3.004
32:41.7	2.911	2.979
32:41.9	2.916	2.937
32:42.1	2.905	2.951
32:42.3	2.88	2.92
32:42.5	2.883	2.9
32:42.7	2.841	2.889
32:42.9	2.843	2.903
32:43.1	2.815	2.878
32:43.3	2.818	2.858
32:43.5	2.815	2.847
32:43.7	2.765	2.819
32:43.9	2.759	2.83
32:44.1	2.74	2.802
32:44.3	2.757	2.791
32:44.5	2.709	2.78
32:44.7	2.712	2.774
32:44.9	2.698	2.752
32:45.1	2.695	2.738
32:45.3	2.675	2.727
32:45.5	2.664	2.71
32:45.7	2.65	2.685
32:45.9	2.642	2.679
32:46.1	2.619	2.679
32:46.3	2.6	2.643
32:46.5	2.591	2.645
32:46.7	2.577	2.637
32:46.9	2.56	2.615
32:47.1	2.549	2.589
32:47.3	2.541	2.57
32:47.5	2.507	2.574
32:47.7	2.506	2.563
32:47.9	2.497	2.535
32:48.1	2.489	2.526
32:48.3	2.483	2.504
32:48.5	2.481	2.501
32:48.7	2.439	2.495
32:48.9	2.436	2.479
32:49.1	2.422	2.47
32:49.3	2.394	2.456
32:49.5	2.405	2.448
32:49.7	2.374	2.42
32:49.9	2.357	2.411
32:50.1	2.354	2.392
32:50.3	2.329	2.381
32:50.5	2.321	2.361
32:50.7	2.307	2.355
32:50.9	2.29	2.347
32:51.1	2.293	2.322
32:51.3	2.282	2.313
32:51.5	2.268	2.295
32:51.7	2.255	2.301
32:51.9	2.224	2.281
32:52.1	2.205	2.247
32:52.3	2.21	2.25
32:52.5	2.205	2.233
32:52.7	2.177	2.217
32:52.9	2.157	2.203
32:53.1	2.143	2.183
32:53.3	2.154	2.183
32:53.5	2.118	2.166
32:53.7	2.118	2.152
32:53.9	2.073	2.149
32:54.1	2.081	2.133
32:54.3	2.073	2.105
32:54.5	2.059	2.093
32:54.7	2.036	2.093
32:54.9	2.02	2.085
32:55.1	2.008	2.057
32:55.3	2	2.032
32:55.5	1.972	2.029
32:55.7	1.964	2.009
32:55.9	1.944	2.006
32:56.1	1.938	1.967
32:56.3	1.91	1.978
32:56.5	1.955	1.959
32:56.7	1.924	1.95
32:56.9	1.894	1.942
32:57.1	1.868	1.92
32:57.3	1.846	1.92
32:57.5	1.832	1.892
32:57.7	1.849	1.879
32:57.9	1.829	1.871
32:58.1	1.815	1.859
32:58.3	1.79	1.834
32:58.5	1.776	1.817
32:58.7	1.762	1.812
32:58.9	1.745	1.798
32:59.1	1.759	1.784
32:59.3	1.725	1.764
32:59.5	1.72	1.759
32:59.7	1.697	1.76
32:59.9	1.672	1.732
33:00.1	1.686	1.723
33:00.3	1.65	1.707
33:00.5	1.661	1.693
33:00.7	1.633	1.667
33:00.9	1.63	1.648
33:01.1	1.605	1.665
33:01.3	1.583	1.637
33:01.5	1.574	1.631
33:01.7	1.566	1.617
33:01.9	1.535	1.603
33:02.1	1.538	1.578
33:02.3	1.535	1.564
33:02.5	1.524	1.558
33:02.7	1.513	1.55
33:02.9	1.487	1.522
33:03.1	1.471	1.516
33:03.3	1.459	1.497
33:03.5	1.442	1.497
33:03.7	1.412	1.449
33:03.9	1.42	1.466
33:04.1	1.4	1.438
33:04.3	1.414	1.446
33:04.5	1.375	1.415
33:04.7	1.347	1.41
33:04.9	1.33	1.398
33:05.1	1.316	1.373
33:05.3	1.297	1.373
33:05.5	1.311	1.356
33:05.7	1.3	1.328
33:05.9	1.3	1.334
33:06.1	1.249	1.312
33:06.3	1.255	1.32
33:06.5	1.232	1.314
33:06.7	1.227	1.275
33:06.9	1.204	1.275
33:07.1	1.213	1.25
33:07.3	1.21	1.239
33:07.5	1.168	1.225
33:07.7	1.159	1.219
33:07.9	1.13	1.198
33:08.1	1.13	1.181
33:08.3	1.13	1.145
33:08.5	1.133	1.178
33:08.7	1.11	1.164
33:08.9	1.074	1.134
33:09.1	1.068	1.117
33:09.3	1.06	1.111
33:09.5	1.052	1.083
33:09.7	1.054	1.072
33:09.9	1.018	1.075
33:10.1	1.001	1.033
33:10.3	0.987	1.036
33:10.5	0.973	1.027
33:10.7	0.948	1.013
33:10.9	0.959	0.996
33:11.1	0.934	0.98
33:11.3	0.937	0.985
33:11.5	0.909	0.957
33:11.7	0.878	0.954
33:11.9	0.895	0.923
33:12.1	0.883	0.926
33:12.3	0.847	0.918
33:12.5	0.858	0.898
33:12.7	0.822	0.876
33:12.9	0.799	0.87
33:13.1	0.788	0.853
33:13.3	0.799	0.834
33:13.5	0.763	0.82
33:13.7	0.774	0.811
33:13.9	0.738	0.795
33:14.1	0.746	0.772
33:14.3	0.732	0.781
33:14.5	0.69	0.761
33:14.7	0.701	0.753
33:14.9	0.687	0.727
33:15.1	0.679	0.736
33:15.3	0.659	0.682
33:15.5	0.645	0.697
33:15.7	0.626	0.646
33:15.9	0.589	0.666
33:16.1	0.586	0.638
33:16.3	0.575	0.629
33:16.5	0.575	0.618
33:16.7	0.558	0.596
33:16.9	0.55	0.607
33:17.1	0.533	0.598
33:17.3	0.502	0.57
33:17.5	0.511	0.562
33:17.7	0.466	0.542
33:17.9	0.472	0.523
33:18.1	0.48	0.514
33:18.3	0.458	0.481
33:18.5	0.438	0.484
33:18.7	0.435	0.484
33:18.9	0.418	0.458
33:19.1	0.387	0.461
33:19.3	0.382	0.428
33:19.5	0.357	0.425
33:19.7	0.354	0.394
33:19.9	0.331	0.401
33:20.1	0.337	0.381
33:20.3	0.284	0.373
33:20.5	0.326	0.359
33:20.7	0.289	0.348
33:20.9	0.287	0.322
33:21.1	0.278	0.314
33:21.3	0.25	0.294
33:21.5	0.245	0.297
33:21.7	0.205	0.255
33:21.9	0.214	0.269
33:22.1	0.183	0.255
33:22.3	0.175	0.255
33:22.5	0.175	0.227
33:22.7	0.155	0.216
33:22.9	0.138	0.205
33:23.1	0.135	0.196
33:23.3	0.116	0.166
33:23.5	0.118	0.166
33:23.7	0.088	0.126
33:23.9	0.096	0.128
33:24.1	0.064	0.125
33:24.3	0.044	0.128
33:24.5	0.025	0.105
33:24.7	0.008	0.086
33:24.9	0.011	0.072
33:25.1	-0.017	0.049
33:25.3	0.005	0.032
33:25.5	-0.026	0.032
33:25.7	-0.037	0.01
33:25.9	-0.037	0.011
33:26.1	-0.062	-0.008
33:26.3	-0.085	-0.025
33:26.5	-0.073	-0.025
33:26.7	-0.107	-0.05
33:26.9	-0.135	-0.084
33:27.1	-0.144	-0.081
33:27.3	-0.166	-0.092
33:27.5	-0.169	-0.106
33:27.7	-0.183	-0.115
33:27.9	-0.197	-0.126
33:28.1	-0.188	-0.147
33:28.3	-0.211	-0.136
33:28.5	-0.222	-0.186
33:28.7	-0.239	-0.195
33:28.9	-0.253	-0.178
33:29.1	-0.281	-0.223
33:29.3	-0.272	-0.223
33:29.5	-0.303	-0.237
33:29.7	-0.317	-0.267
33:29.9	-0.34	-0.273
