Time_Peltier_On;T1;T2
11:21:14.197;7.269;7.751
11:21:14.371;7.219;7.641
11:21:14.580;7.092;7.514
11:21:14.791;6.968;7.401
11:21:14.998;6.876;7.274
11:21:15.205;6.788;7.166
11:21:15.378;6.705;7.094
11:21:15.583;6.653;7.006
11:21:15.793;6.589;6.923
11:21:16.002;6.529;6.843
11:21:16.212;6.484;6.779
11:21:16.376;6.449;6.713
11:21:16.580;6.399;6.672
11:21:16.790;6.352;6.616
11:21:16.999;6.33;6.569
11:21:17.166;6.291;6.547
11:21:17.381;6.266;6.5
11:21:17.593;6.236;6.473
11:21:17.801;6.225;6.442
11:21:17.973;6.208;6.401
11:21:18.181;6.172;6.365
11:21:18.396;6.164;6.36
11:21:18.608;6.17;6.318
11:21:18.766;6.153;6.293
11:21:18.978;6.156;6.266
11:21:19.188;6.137;6.263
11:21:19.397;6.109;6.246
11:21:19.603;6.106;6.216
11:21:19.768;6.106;6.213
11:21:19.977;6.079;6.21
11:21:20.191;6.067;6.172
11:21:20.406;6.062;6.158
11:21:20.574;6.059;6.147
11:21:20.786;6.048;6.144
11:21:20.994;6.021;6.125
11:21:21.209;6.023;6.1
11:21:21.363;6.029;6.103
11:21:21.572;6.012;6.089
11:21:21.797;6.004;6.092
11:21:22.003;6.001;6.081
11:21:22.166;5.996;6.064
11:21:22.380;5.974;6.042
11:21:22.589;5.943;6.028
11:21:22.797;5.957;6.025
11:21:23.008;5.916;6.025
11:21:23.173;5.949;5.995
11:21:23.385;5.938;5.984
11:21:23.596;5.927;5.962
11:21:23.810;5.916;5.94
11:21:23.968;5.888;5.943
11:21:24.179;5.891;5.968
11:21:24.389;5.877;5.929
11:21:24.597;5.869;5.912
11:21:24.814;5.844;5.887
11:21:24.968;5.833;5.868
11:21:25.183;5.827;5.876
11:21:25.398;5.805;5.863
11:21:25.606;5.813;5.838
11:21:25.774;5.811;5.841
11:21:25.986;5.767;5.829
11:21:26.198;5.761;5.807
11:21:26.406;5.764;5.813
11:21:26.567;5.753;5.774
11:21:26.776;5.744;5.788
11:21:26.986;5.714;5.76
11:21:27.194;5.703;5.752
11:21:27.407;5.695;5.76
11:21:27.569;5.706;5.744
11:21:27.779;5.681;5.713
11:21:27.993;5.673;5.713
11:21:28.204;5.634;5.683
