01/08/19	18:29:30.753	C:\Icing\LabView_vi\Icing_2TC_FP_v2.0.vi
Dt (s):		0.200000

Date	Time	# meas	# cycle	V	I	Temp1	Temp2

01/08/19	18:30:26.008	1	0	0.000000	0.003000	6.4830	6.4920
01/08/19	18:30:26.202	2	0	-0.001000	0.003000	6.4750	6.4730
01/08/19	18:30:26.408	3	0	-0.001000	0.004000	6.4640	6.4700
01/08/19	18:30:26.634	4	0	0.000000	0.004000	6.4670	6.5120
01/08/19	18:30:26.806	5	0	0.000000	0.004000	6.4860	6.4760
01/08/19	18:30:27.012	6	0	0.000000	0.004000	6.4830	6.4980
01/08/19	18:30:27.222	7	0	0.000000	0.004000	6.4690	6.4620
01/08/19	18:30:27.430	8	0	0.000000	0.004000	6.4720	6.4870
01/08/19	18:30:27.644	9	0	0.000000	0.004000	6.4640	6.4540
01/08/19	18:30:27.809	10	0	0.000000	0.003000	6.4940	6.4760
01/08/19	18:30:28.022	11	0	0.000000	0.003000	6.4830	6.4870
01/08/19	18:30:28.234	12	0	0.000000	0.003000	6.5220	6.4900
01/08/19	18:30:28.446	13	0	0.000000	0.003000	6.4610	6.4760
01/08/19	18:30:28.604	14	0	0.000000	0.003000	6.4800	6.4730
01/08/19	18:30:28.813	15	0	0.000000	0.003000	6.4530	6.4870
01/08/19	18:30:29.029	16	0	0.000000	0.003000	6.4800	6.5150
01/08/19	18:30:29.241	17	0	0.000000	0.003000	6.4780	6.4620
01/08/19	18:30:29.402	18	0	0.000000	0.003000	6.4800	6.4790
