17/04/19	11:54:25.557	C:\Icing\LabView_vi\Icing_2TC_FP_v0.5.vi
Dt (s):		0.200000
test with thermocouples inside prepreg .(T1 at top and T2  at the bottom)
Date	Time	# meas	# cycle	V	I	Temp1	Temp2

17/04/19	11:54:47.519	1	0	0.000000	0.013000	6.5380	6.4650
17/04/19	11:54:47.716	2	0	0.000000	0.013000	6.5150	6.4960
17/04/19	11:54:47.926	3	0	0.000000	0.013000	6.5350	6.4870
17/04/19	11:54:48.141	4	0	0.000000	0.013000	6.5430	6.4900
17/04/19	11:54:48.356	5	0	0.000000	0.013000	6.5260	6.5010
17/04/19	11:54:48.526	6	0	0.000000	0.013000	6.5150	6.4730
17/04/19	11:54:48.732	7	0	0.000000	0.013000	6.5240	6.4760
17/04/19	11:54:48.933	8	0	-0.001000	0.013000	6.5210	6.4870
17/04/19	11:54:49.142	9	0	0.000000	0.013000	6.5290	6.4760
17/04/19	11:54:49.349	10	0	-0.001000	0.013000	6.5180	6.4840
17/04/19	11:54:49.516	11	0	-0.001000	0.013000	6.5380	6.4870
17/04/19	11:54:49.730	12	0	0.000000	0.013000	6.5400	6.4820
17/04/19	11:54:49.944	13	0	-0.001000	0.013000	6.5460	6.4680
17/04/19	11:54:50.151	14	0	0.000000	0.013000	6.5260	6.4680
17/04/19	11:54:50.324	15	0	0.000000	0.013000	6.5460	6.4840
17/04/19	11:54:50.539	16	0	0.000000	0.013000	6.5430	6.4760
17/04/19	11:54:50.743	17	0	0.000000	0.013000	6.5380	6.4790
17/04/19	11:54:50.961	18	0	0.000000	0.013000	6.5460	6.4900
17/04/19	11:54:51.118	19	0	0.000000	0.013000	6.5320	6.4840
17/04/19	11:54:51.326	20	0	0.000000	0.013000	6.4990	6.4900
17/04/19	11:54:51.551	21	0	0.000000	0.013000	6.5320	6.4730
17/04/19	11:54:51.750	22	0	0.000000	0.013000	6.5350	6.4760
17/04/19	11:54:51.916	23	0	0.000000	0.013000	6.5350	6.4840
17/04/19	11:54:52.131	24	0	0.000000	0.013000	6.5380	6.4840
17/04/19	11:54:52.346	25	0	0.000000	0.013000	6.5490	6.5010
17/04/19	11:54:52.563	26	0	-0.001000	0.013000	6.5510	6.4960
17/04/19	11:54:52.724	27	0	-0.001000	0.013000	6.5430	6.4900
17/04/19	11:54:52.931	28	0	0.000000	0.013000	6.5350	6.4710
17/04/19	11:54:53.131	29	0	0.000000	0.013000	6.5350	6.4730
17/04/19	11:54:53.357	30	0	0.000000	0.013000	6.5380	6.4840
17/04/19	11:54:53.559	31	0	-0.001000	0.013000	6.5350	6.5010
17/04/19	11:54:53.719	32	0	-0.001000	0.013000	6.5400	6.4980
17/04/19	11:54:53.929	33	0	0.000000	0.013000	6.5320	6.5040
17/04/19	11:54:54.137	34	0	0.000000	0.013000	6.5510	6.4820
17/04/19	11:54:54.343	35	0	0.000000	0.013000	6.5400	6.4820
17/04/19	11:54:54.558	36	0	0.000000	0.013000	6.5570	6.5010
17/04/19	11:54:54.719	37	0	0.000000	0.013000	6.5510	6.4840
17/04/19	11:54:54.934	38	0	0.000000	0.013000	6.5430	6.4820
17/04/19	11:54:55.146	39	0	0.000000	0.013000	6.5320	6.4650
17/04/19	11:54:55.358	40	0	0.000000	0.012000	6.5620	6.4870
17/04/19	11:54:55.518	41	0	0.000000	0.012000	6.5400	6.5070
17/04/19	11:54:55.742	42	0	0.000000	0.013000	6.5290	6.4870
17/04/19	11:54:55.945	43	0	0.000000	0.013000	6.5400	6.4820
17/04/19	11:54:56.152	44	0	0.000000	0.013000	6.5100	6.4790
