28/06/19	18:51:01.691	C:\Icing\LabView_vi\Icing_2TC_FP_v2.1.vi
Dt (s):		0.200000
test with constant cooling rate
Date	Time	# meas	# cycle	V	I	Temp1	Temp2

28/06/19	18:53:10.921	1	0	0.000000	0.002000	6.0220	6.0300
28/06/19	18:53:11.112	2	0	-0.001000	0.002000	6.0490	6.0300
28/06/19	18:53:11.316	3	0	-0.001000	0.002000	6.0330	6.0380
28/06/19	18:53:11.542	4	0	-0.001000	0.002000	6.0330	6.0540
28/06/19	18:53:11.751	5	0	-0.001000	0.002000	6.0360	6.0430
28/06/19	18:53:11.918	6	0	-0.001000	0.002000	6.0300	6.0270
28/06/19	18:53:12.131	7	0	-0.001000	0.002000	6.0250	6.0430
28/06/19	18:53:12.339	8	0	-0.001000	0.002000	6.0470	6.0430
28/06/19	18:53:12.545	9	0	0.000000	0.002000	6.0330	6.0350
28/06/19	18:53:12.711	10	0	-0.001000	0.002000	6.0580	6.0320
28/06/19	18:53:12.919	11	0	-0.001000	0.002000	6.0360	6.0570
28/06/19	18:53:13.130	12	0	-0.001000	0.002000	6.0410	6.0320
28/06/19	18:53:13.338	13	0	-0.001000	0.002000	6.0270	6.0430
28/06/19	18:53:13.565	14	0	-0.001000	0.002000	6.0360	6.0350
28/06/19	18:53:13.714	15	0	-0.001000	0.002000	6.0300	6.0410
28/06/19	18:53:13.922	16	0	-0.001000	0.002000	6.0270	6.0350
28/06/19	18:53:14.129	17	0	-0.001000	0.002000	6.0440	6.0320
28/06/19	18:53:14.343	18	0	-0.001000	0.002000	6.0410	6.0100
28/06/19	18:53:14.549	19	0	-0.001000	0.002000	6.0250	6.0380
28/06/19	18:53:14.717	20	0	-0.001000	0.002000	6.0440	6.0430
28/06/19	18:53:14.928	21	0	-0.001000	0.002000	6.0360	6.0380
28/06/19	18:53:15.139	22	0	-0.001000	0.002000	6.0300	6.0350
28/06/19	18:53:15.348	23	0	0.000000	0.002000	6.0300	6.0630
28/06/19	18:53:15.508	24	0	0.000000	0.002000	6.0250	6.0520
28/06/19	18:53:15.718	25	0	0.000000	0.002000	6.0380	6.0490
28/06/19	18:53:15.943	26	0	-0.001000	0.002000	6.0490	6.0380
28/06/19	18:53:16.147	27	0	-0.001000	0.002000	6.0550	6.0520
28/06/19	18:53:16.348	28	0	-0.001000	0.002000	6.0800	6.1010
28/06/19	18:53:16.514	29	0	-0.001000	0.002000	6.2340	6.6290
28/06/19	18:53:16.721	30	0	0.000000	0.002000	7.3280	7.6370
28/06/19	18:53:16.934	31	0	-0.001000	0.002000	7.8080	8.2050
28/06/19	18:53:17.141	32	0	-0.001000	0.002000	8.2800	8.7110
28/06/19	18:53:17.354	33	0	-0.001000	0.002000	8.5210	9.0280
28/06/19	18:53:17.517	34	0	-0.001000	0.002000	8.5700	9.0640
28/06/19	18:53:17.724	35	0	-0.001000	0.003000	8.5680	9.0030
28/06/19	18:53:17.925	36	0	-0.001000	0.003000	8.7830	9.3650
28/06/19	18:53:18.131	37	0	0.000000	0.002000	8.9460	9.4180
28/06/19	18:53:18.338	38	0	-0.001000	0.002000	8.8960	9.2820
28/06/19	18:53:18.546	39	0	-0.001000	0.002000	8.7690	9.1300
28/06/19	18:53:18.714	40	0	-0.001000	0.002000	8.6780	9.0010
28/06/19	18:53:18.922	41	0	-0.001000	0.003000	8.5450	8.8490
28/06/19	18:53:19.129	42	0	-0.001000	0.003000	8.4320	8.7110
28/06/19	18:53:19.343	43	0	-0.001000	0.003000	8.3220	8.5560
28/06/19	18:53:19.549	44	0	-0.001000	0.003000	8.2090	8.4400
28/06/19	18:53:19.719	45	0	-0.001000	0.003000	8.1290	8.3460
28/06/19	18:53:19.927	46	0	0.000000	0.003000	8.0180	8.2250
28/06/19	18:53:20.133	47	0	-0.001000	0.003000	7.9320	8.1280
28/06/19	18:53:20.345	48	0	-0.001000	0.003000	7.8410	8.0290
28/06/19	18:53:20.511	49	0	-0.001000	0.003000	7.7670	7.9430
28/06/19	18:53:20.737	50	0	-0.001000	0.003000	7.6840	7.8550
28/06/19	18:53:20.937	51	0	-0.001000	0.003000	7.6150	7.7720
28/06/19	18:53:21.141	52	0	-0.001000	0.003000	7.5490	7.6590
Cycle	Time Peltier On:	120	Time Peltier Off:	150	# iterations	2		control P	0.0250	DT °C/min	10.0000
28/06/19	18:53:21.313	53	1	-0.001000	1.827000	7.4990	7.6120
28/06/19	18:53:21.520	54	1	0.334000	1.827000	7.3660	7.5040
28/06/19	18:53:21.731	55	1	0.290000	0.093000	7.2750	7.3830
28/06/19	18:53:21.940	56	1	0.290000	0.075000	7.1570	7.2750
28/06/19	18:53:22.149	57	1	0.269000	0.064000	7.0680	7.1700
28/06/19	18:53:22.317	58	1	0.208000	0.064000	6.9850	7.0930
28/06/19	18:53:22.529	59	1	0.189000	0.056000	6.8860	7.0130
28/06/19	18:53:22.738	60	1	0.189000	0.042000	6.7980	6.9100
28/06/19	18:53:22.944	61	1	0.157000	0.035000	6.7260	6.8520
28/06/19	18:53:23.110	62	1	0.120000	0.035000	6.6730	6.7890
28/06/19	18:53:23.321	63	1	0.109000	0.029000	6.6240	6.7200
28/06/19	18:53:23.525	64	1	0.109000	0.026000	6.5630	6.6590
28/06/19	18:53:23.736	65	1	0.100000	0.023000	6.5380	6.6120
28/06/19	18:53:23.942	66	1	0.093000	0.023000	6.4830	6.5600
28/06/19	18:53:24.110	67	1	0.082000	0.025000	6.4410	6.5240
28/06/19	18:53:24.318	68	1	0.082000	0.020000	6.4030	6.4580
28/06/19	18:53:24.532	69	1	0.079000	0.019000	6.3560	6.4380
28/06/19	18:53:24.739	70	1	0.068000	0.019000	6.3200	6.4020
28/06/19	18:53:24.952	71	1	0.068000	0.017000	6.2840	6.3440
28/06/19	18:53:25.117	72	1	0.068000	0.018000	6.2620	6.3250
28/06/19	18:53:25.330	73	1	0.067000	0.018000	6.2430	6.3090
28/06/19	18:53:25.539	74	1	0.076000	0.018000	6.2260	6.2510
28/06/19	18:53:25.754	75	1	0.083000	0.020000	6.1760	6.2390
28/06/19	18:53:25.911	76	1	0.083000	0.020000	6.1600	6.2090
28/06/19	18:53:26.117	77	1	0.078000	0.023000	6.1270	6.1900
28/06/19	18:53:26.327	78	1	0.084000	0.023000	6.1210	6.1700
28/06/19	18:53:26.546	79	1	0.097000	0.022000	6.0910	6.1260
28/06/19	18:53:26.745	80	1	0.097000	0.026000	6.0770	6.1010
28/06/19	18:53:26.913	81	1	0.097000	0.029000	6.0330	6.0790
28/06/19	18:53:27.123	82	1	0.101000	0.029000	6.0270	6.0660
28/06/19	18:53:27.331	83	1	0.115000	0.027000	5.9800	6.0320
28/06/19	18:53:27.545	84	1	0.115000	0.029000	5.9720	6.0080
28/06/19	18:53:27.721	85	1	0.108000	0.032000	5.9420	5.9830
28/06/19	18:53:27.933	86	1	0.123000	0.032000	5.9250	5.9610
28/06/19	18:53:28.142	87	1	0.130000	0.033000	5.9000	5.9360
28/06/19	18:53:28.308	88	1	0.130000	0.036000	5.9060	5.9250
28/06/19	18:53:28.519	89	1	0.140000	0.041000	5.8750	5.8920
28/06/19	18:53:28.727	90	1	0.152000	0.041000	5.8450	5.8670
28/06/19	18:53:28.953	91	1	0.154000	0.041000	5.8310	5.8530
28/06/19	18:53:29.111	92	1	0.154000	0.044000	5.8010	5.8310
28/06/19	18:53:29.321	93	1	0.164000	0.044000	5.7840	5.7950
28/06/19	18:53:29.534	94	1	0.174000	0.044000	5.7570	5.7810
28/06/19	18:53:29.745	95	1	0.177000	0.046000	5.7320	5.7590
28/06/19	18:53:29.911	96	1	0.177000	0.047000	5.7100	5.7420
28/06/19	18:53:30.123	97	1	0.184000	0.049000	5.6880	5.7120
28/06/19	18:53:30.334	98	1	0.192000	0.049000	5.6630	5.7070
28/06/19	18:53:30.545	99	1	0.197000	0.050000	5.6440	5.6600
28/06/19	18:53:30.716	100	1	0.197000	0.054000	5.6210	5.6570
28/06/19	18:53:30.925	101	1	0.205000	0.055000	5.5860	5.6130
28/06/19	18:53:31.145	102	1	0.211000	0.055000	5.5910	5.5820
28/06/19	18:53:31.358	103	1	0.229000	0.055000	5.5390	5.5740
28/06/19	18:53:31.511	104	1	0.229000	0.057000	5.5330	5.5490
28/06/19	18:53:31.724	105	1	0.227000	0.061000	5.5000	5.5350
28/06/19	18:53:31.942	106	1	0.234000	0.061000	5.4810	5.4970
28/06/19	18:53:32.110	107	1	0.243000	0.061000	5.4360	5.4660
28/06/19	18:53:32.326	108	1	0.243000	0.060000	5.4310	5.4280
28/06/19	18:53:32.541	109	1	0.237000	0.064000	5.3920	5.4420
28/06/19	18:53:32.716	110	1	0.249000	0.064000	5.3760	5.3920
28/06/19	18:53:32.931	111	1	0.258000	0.064000	5.3700	5.3640
28/06/19	18:53:33.136	112	1	0.258000	0.069000	5.3370	5.3500
28/06/19	18:53:33.349	113	1	0.272000	0.069000	5.3120	5.3340
28/06/19	18:53:33.510	114	1	0.277000	0.069000	5.2760	5.3200
28/06/19	18:53:33.718	115	1	0.279000	0.070000	5.2540	5.2680
28/06/19	18:53:33.928	116	1	0.279000	0.071000	5.2160	5.2430
28/06/19	18:53:34.135	117	1	0.284000	0.070000	5.1910	5.2400
28/06/19	18:53:34.343	118	1	0.289000	0.070000	5.2020	5.2070
28/06/19	18:53:34.509	119	1	0.306000	0.072000	5.1490	5.1740
28/06/19	18:53:34.724	120	1	0.306000	0.075000	5.1240	5.1540
28/06/19	18:53:34.932	121	1	0.302000	0.076000	5.0940	5.1210
28/06/19	18:53:35.140	122	1	0.307000	0.076000	5.0660	5.0960
28/06/19	18:53:35.348	123	1	0.311000	0.076000	5.0470	5.0690
28/06/19	18:53:35.515	124	1	0.311000	0.079000	5.0530	5.0440
28/06/19	18:53:35.729	125	1	0.321000	0.085000	5.0080	5.0160
28/06/19	18:53:35.940	126	1	0.332000	0.085000	4.9920	4.9940
28/06/19	18:53:36.146	127	1	0.340000	0.082000	4.9560	4.9530
28/06/19	18:53:36.313	128	1	0.340000	0.084000	4.9260	4.9420
28/06/19	18:53:36.517	129	1	0.343000	0.084000	4.8980	4.9390
28/06/19	18:53:36.725	130	1	0.347000	0.084000	4.8620	4.8870
28/06/19	18:53:36.934	131	1	0.348000	0.085000	4.8400	4.8700
28/06/19	18:53:37.145	132	1	0.348000	0.086000	4.8210	4.8480
28/06/19	18:53:37.313	133	1	0.353000	0.088000	4.7930	4.8040
28/06/19	18:53:37.520	134	1	0.365000	0.088000	4.7650	4.7840
28/06/19	18:53:37.736	135	1	0.367000	0.089000	4.7460	4.7680
28/06/19	18:53:37.947	136	1	0.367000	0.091000	4.7160	4.7130
28/06/19	18:53:38.114	137	1	0.375000	0.092000	4.6990	4.7070
28/06/19	18:53:38.330	138	1	0.386000	0.092000	4.6660	4.6960
28/06/19	18:53:38.536	139	1	0.388000	0.094000	4.6520	4.6850
28/06/19	18:53:38.745	140	1	0.388000	0.096000	4.6160	4.6130
28/06/19	18:53:38.910	141	1	0.397000	0.096000	4.5830	4.6050
28/06/19	18:53:39.118	142	1	0.397000	0.096000	4.5560	4.5880
28/06/19	18:53:39.324	143	1	0.404000	0.097000	4.5230	4.5470
28/06/19	18:53:39.532	144	1	0.404000	0.097000	4.5090	4.5000
